hidden_dim,num_layers,lr,weight_decay,val_loss
32,5,0.0001,0.0,1.2686468361773788
32,5,0.0001,1e-05,0.7816562449792971
32,5,0.001,0.0,0.30800885044963655
32,5,0.001,1e-05,0.3292575181052113
32,7,0.0001,0.0,1.4493550636410915
32,7,0.0001,1e-05,2.404398257213543
32,7,0.001,0.0,2.197424705717927
32,7,0.001,1e-05,0.43229490480053806
32,9,0.0001,0.0,0.8994688157140829
32,9,0.0001,1e-05,2.299614716288294
32,9,0.001,0.0,2.1868300765285515
32,9,0.001,1e-05,2.2469801734091015
64,5,0.0001,0.0,0.71901655716856
64,5,0.0001,1e-05,0.7940757988731897
64,5,0.001,0.0,2.213745315028371
64,5,0.001,1e-05,0.4420906630266917
64,7,0.0001,0.0,0.9761282808870763
64,7,0.0001,1e-05,0.34451938404090066
64,7,0.001,0.0,1.5438304704278158
64,7,0.001,1e-05,2.3060470072798074
64,9,0.0001,0.0,0.8531522412743006
64,9,0.0001,1e-05,2.2419661300596716
64,9,0.001,0.0,2.227793367384778
64,9,0.001,1e-05,2.2234657667454383
128,5,0.0001,0.0,0.5734270794769529
128,5,0.0001,1e-05,0.6084215210994525
128,5,0.001,0.0,2.231164309891044
128,5,0.001,1e-05,2.3760350766300204
128,7,0.0001,0.0,0.32257805322553595
128,7,0.0001,1e-05,2.2043958778215975
128,7,0.001,0.0,2.2723688683641052
128,7,0.001,1e-05,2.2490376210027736
128,9,0.0001,0.0,0.24314327388669577
128,9,0.0001,1e-05,2.194225645070931
128,9,0.001,0.0,2.28688445087519
128,9,0.001,1e-05,2.478701382272395
256,5,0.0001,0.0,0.5567815475412984
256,5,0.0001,1e-05,0.2281635187431938
256,5,0.001,0.0,2.9286406280591715
256,5,0.001,1e-05,2.6062151744296878
256,7,0.0001,0.0,0.33090871605897415
256,7,0.0001,1e-05,0.315335725607555
256,7,0.001,0.0,2.5457139145453582
256,7,0.001,1e-05,2.3061126191259085
256,9,0.0001,0.0,0.4422883315802048
256,9,0.0001,1e-05,2.19735099701282
256,9,0.001,0.0,2.3189283009855273
256,9,0.001,1e-05,2.675835370066626
